"epoch","hdb_early - _step","hdb_early - _step__MIN","hdb_early - _step__MAX","hdb_early - backbone_lr","hdb_early - backbone_lr__MIN","hdb_early - backbone_lr__MAX","hdb_early - transformer_lr","hdb_early - transformer_lr__MIN","hdb_early - transformer_lr__MAX","hdb_early - mIoU","hdb_early - mIoU__MIN","hdb_early - mIoU__MAX","hdb_early - loss_growsp","hdb_early - loss_growsp__MIN","hdb_early - loss_growsp__MAX","hdb_early - loss_tarl","hdb_early - loss_tarl__MIN","hdb_early - loss_tarl__MAX","hdb_early - train_loss","hdb_early - train_loss__MIN","hdb_early - train_loss__MAX"
"11","510.02272727272725","486","530","0.003053356064522233","0.002830961092536074","0.003241473895346789","0.00006069192033377826","0.00005717876019260189","0.000064439030735883","","","","472.2930612564087","472.2930612564087","472.2930612564087","185.2684257030487","185.2684257030487","185.2684257030487","564.927274107933","564.927274107933","564.927274107933"
"12","556.4772727272727","532","578","0.003469237475467281","0.003270830335991943","0.003659835581092114","0.0000701002234421957","0.00006522070400433018","0.00007421225237418854","","","","467.73673725128174","467.73673725128174","467.73673725128174","170.9434254169464","170.9434254169464","170.9434254169464","553.208449959755","553.208449959755","553.208449959755"
"13","604.175","579","626","0.003955143647040069","0.0037207904413292985","0.004164718179649837","0.00007935059685326739","0.00007564020063532498","0.00008392185062979723","","","","466.96284198760986","466.96284198760986","466.96284198760986","161.52664184570312","161.52664184570312","161.52664184570312","547.7261629104614","547.7261629104614","547.7261629104614"
"14","653.0196078431372","627","674","0.00446258851373","0.004206560699742088","0.00468194593115175","0.00008942847396208038","0.00008413121399484177","0.00009385174136682402","","","","466.16149711608887","466.16149711608887","466.16149711608887","152.53065848350525","152.53065848350525","152.53065848350525","542.4268263578415","542.4268263578415","542.4268263578415"
"15","701.3888888888889","677","722","0.00496801860982773","0.004745829534022204","0.0051839464691717145","0.00009952157951401484","0.00009449050807037636","0.00010389297628379265","","","","465.71996116638184","465.71996116638184","465.71996116638184","144.90411520004272","144.90411520004272","144.90411520004272","538.1720187664032","538.1720187664032","538.1720187664032"
"16","748.625","724","770","0.005461385032558726","0.005216053530828286","0.0056967692719232564","0.00010920498311416837","0.00010474915856468148","0.00011393538543846513","","","","465.3735752105713","465.3735752105713","465.3735752105713","139.02753329277039","139.02753329277039","139.02753329277039","534.8873418569565","534.8873418569565","534.8873418569565"
"17","795.4318181818181","772","818","0.00593787993751083","0.0057393285639968285","0.0061410254191074844","0.00011911510875468747","0.00011436108137696497","0.00012344976399010843","","","","465.1521167755127","465.1521167755127","465.1521167755127","134.60353302955627","134.60353302955627","134.60353302955627","532.4538832902908","532.4538832902908","532.4538832902908"
"18","842.1860465116279","819","866","0.006455436914181272","0.006214370645949747","0.0066282111529541885","0.00012808798817792394","0.00012407814937020274","0.00013297264342090957","","","","464.8001070022583","464.8001070022583","464.8001070022583","128.72035002708435","128.72035002708435","128.72035002708435","529.1602820158005","529.1602820158005","529.1602820158005"
"19","891.9130434782609","867","914","0.006905331714781005","0.006699557799589261","0.007109550669252854","0.00013873180524333302","0.00013378774762581145","0.00014297500592428747","","","","464.36315536499023","464.36315536499023","464.36315536499023","124.74319434165955","124.74319434165955","124.74319434165955","526.73475253582","526.73475253582","526.73475253582"
"20","939.875","916","963","0.00735874682040296","0.007168292176500677","0.0075876313757488245","0.00014789463686911344","0.00014356096926411698","0.0001519381965644902","10.091960737056993","10.091960737056993","10.091960737056993","464.3530750274658","464.3530750274658","464.3530750274658","121.11619544029236","121.11619544029236","121.11619544029236","524.911172747612","524.911172747612","524.911172747612"
"21","991.6","967","1012","0.007841715047005707","0.007643122430647277","0.008018771059327561","0.00015658904838859437","0.00015249347011283147","0.00016037542118655122","","","","433.7409143447876","433.7409143447876","433.7409143447876","122.80544853210449","122.80544853210449","122.80544853210449","495.14363861083984","495.14363861083984","495.14363861083984"
"22","1038.8085106382978","1013","1060","0.008234228839548809","0.00802742665376379","0.008393758231478816","0.0001645947936490654","0.0001605485330752758","0.0001681941086518658","","","","432.04552268981934","432.04552268981934","432.04552268981934","118.45096015930176","118.45096015930176","118.45096015930176","491.2710027694702","491.2710027694702","491.2710027694702"
"23","1081.7111111111112","1061","1108","0.00856552949178768","0.008425588807034628","0.008758249433577532","0.0001712040378765374","0.00016835310235836995","0.00017415072364779195","","","","431.1580591201782","431.1580591201782","431.1580591201782","115.16311848163605","115.16311848163605","115.16311848163605","488.73961836099625","488.73961836099625","488.73961836099625"
"24","1133.5869565217392","1109","1156","0.008933398504202765","0.008772580267150873","0.009075718845188504","0.00017855892777036693","0.00017545160534301744","0.00018126105338075842","","","","430.7234535217285","430.7234535217285","430.7234535217285","111.73119735717773","111.73119735717773","111.73119735717773","486.5890522003174","486.5890522003174","486.5890522003174"
